producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
Franquesitos CATTIVELLI vacío 340 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,239,,,,,,,devoto,,331625,https://www.devoto.com.uy/product/franquesitos-cattivelli-vacio-340-g/331625
Franquesitos CATTIVELLI vacío 340 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,239,,,,,,,disco,,331625,https://www.disco.com.uy/product/franquesitos-cattivelli-vacio-340-g/331625
Franquesitos CATTIVELLI vacío 340 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,239,,,,,,,geant,,331625,https://www.geant.com.uy/product/franquesitos-cattivelli-vacio-340-g/331625
Franquesitos Cortos CATTIVELLI Envasado al Vacío x 8 Unidades,Cattivelli,Competencia,Cattivelli,Carnes y cortes,270,,,,,,,tiendainglesa,,245,"https://www.tiendainglesa.com.uy/supermercado/franquesitos-cortos-cattivelli-envasado-al-vacio-x-8-unidades.producto?245,,42"
Jamon Cattivelli Cocido Feteado 200Gr Al Vacio,Cattivelli,Competencia,Cattivelli,Carnes y cortes,256,256,,,,,,eldorado,,5248,https://www.eldorado.com.uy/jamon-cattivelli-cocido-feteado-200gr-al-vacio/p
Jamon Cuadrille Cattivelli Feteado Al Vacio 200 G,Cattivelli,Competencia,Cattivelli,Carnes y cortes,330,330,,,,,,tata,,147492,https://www.tata.com.uy/jamon-cuadrille-cattivelli-feteado-al-vacio-200-g-147492/p
Jamón Cuadrille Envasado al Vacío CATTIVELLI 200 gr,Cattivelli,Competencia,Cattivelli,Carnes y cortes,350,,,,,,,tiendainglesa,,409110,"https://www.tiendainglesa.com.uy/supermercado/jamon-cuadrille-envasado-al-vacio-cattivelli-200-gr.producto?409110,,42"
Lomito Cocido Ahumado Envasado al Vacío CATTIVELLI 200 gr,Cattivelli,Competencia,Cattivelli,Carnes y cortes,340,,,,,,,tiendainglesa,,317783,"https://www.tiendainglesa.com.uy/supermercado/lomito-cocido-ahumado-envasado-al-vacio-cattivelli-200-gr.producto?317783,,42"
Lomo Canadiense CATTIVELLI (Kg),Cattivelli,Competencia,Cattivelli,Carnes y cortes,1140,,,,,,,tiendainglesa,,296152,"https://www.tiendainglesa.com.uy/supermercado/lomo-canadiense-cattivelli-kg.producto?296152,,42"
Morcilla Cattivelli Saladas Kg Al Vacio,Cattivelli,Competencia,Cattivelli,Carnes y cortes,551,551,,,,,,eldorado,,721,https://www.eldorado.com.uy/morcilla-cattivelli-saladas-kg-al-vacio/p
Morcilla Salada CATTIVELLI al vacío x 300 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,155,,,,,,,geant,,333923,https://www.geant.com.uy/product/morcilla-salada-cattivelli-al-vacio-x-300-g/333923
Morcillas CATTIVELLI al Vacío Dulces con Frutas y Maní x 2 Unidades,Cattivelli,Competencia,Cattivelli,Carnes y cortes,190,,,,,,,tiendainglesa,,77158,"https://www.tiendainglesa.com.uy/supermercado/morcillas-cattivelli-al-vacio-dulces-con-frutas-y-mani-x-2-unidades.producto?77158,,42"
Morcillas Dulce CATTIVELLI al vacío x 300 g,Cattivelli,Competencia,Cattivelli,Carnes y cortes,155,,,,,,,devoto,,333922,https://www.devoto.com.uy/product/morcillas-dulce-cattivelli-al-vacio-x-300-g/333922
